
System configuration: type=Shared mode=Uncapped smt=4 lcpu=12 mem=6144MB psize=48 ent=2.00 

%user  %sys  %wait  %idle physc %entc  lbusy  vcsw phint  %nsp  %utcyc  Time  
 16.9  49.1    0.0   33.9  2.10 104.8   17.4  1979    34   101   0.58 00:15:50    
 16.9  49.8    0.1   33.2  2.16 107.8   18.0  3786    55   101   0.58 00:16:00    
 17.3  49.2    0.0   33.5  2.12 105.8   17.7  2019    37   101   0.58 00:16:10    
 10.3  39.5    0.2   50.0  1.53  76.4   13.4  3190    44   101   0.58 00:16:20    
  3.1  31.4    0.1   65.3  1.07  53.7   10.2  2265    23   101   0.58 00:16:30    
  3.0  30.0    0.0   67.0  1.02  50.8    9.0   680    11   101   0.58 00:16:40    
  2.9  31.7    0.1   65.4  1.08  54.0    9.9  3130    18   101   0.58 00:16:50    
  3.4  30.1    0.0   66.6  1.02  51.2    9.2   657    16   101   0.58 00:17:00    
  3.4  31.8    0.1   64.8  1.08  54.2   10.0  2501    35   101   0.58 00:17:10    
  2.9  30.5    0.1   66.5  1.03  51.6    9.4  1438    19   101   0.58 00:17:20    
  3.1  30.5    0.1   66.3  1.04  51.9    9.3  1215    11   101   0.58 00:17:30    
%user  %sys  %wait  %idle physc %entc  lbusy  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------ ----- ----- -----  ------ --------
  3.1  31.4    0.1   65.5  1.07  53.6   10.0  3026    20   101   0.58 00:17:40    
  2.9  30.0    0.0   67.1  1.01  50.6    9.2   813     6   101   0.58 00:17:50    
  3.6  31.1    0.0   65.3  1.07  53.3    9.8  1942    11   101   0.58 00:18:00    
  3.2  31.4    0.1   65.3  1.07  53.7    9.9  2473    35   101   0.58 00:18:10    
  3.0  30.2    0.1   66.8  1.02  50.9    9.6   682    31   101   0.58 00:18:20    
  3.1  31.8    0.1   65.0  1.09  54.4   10.2  3413    26   101   0.58 00:18:30    
  3.0  29.8    0.0   67.1  1.01  50.6    9.2   674     8   101   0.58 00:18:40    
  3.0  30.9    0.0   66.1  1.04  52.2    9.3  2112    20   101   0.58 00:18:50    
  3.5  30.3    0.1   66.2  1.04  52.1    9.5  1707    11   101   0.58 00:19:00    
  3.2  30.3    0.0   66.4  1.03  51.7    9.5  1197    35   101   0.58 00:19:10    
  3.2  31.8    0.1   64.9  1.09  54.7   10.1  3090    47   101   0.58 00:19:20    
  3.2  30.5    0.1   66.3  1.04  51.9    9.3  1343    28   101   0.58 00:19:30    
  3.1  30.6    0.0   66.2  1.04  52.0    9.4  1392    25   101   0.58 00:19:40    
  3.0  31.2    0.0   65.8  1.06  53.0    9.6  2452    29   101   0.58 00:19:50    
  3.8  30.1    0.0   66.1  1.04  51.8    9.4   598    20   101   0.58 00:20:00    
  3.9  31.8    0.1   64.2  1.10  55.0   10.1  3242    33   101   0.58 00:20:10    
  2.9  29.7    0.0   67.4  1.01  50.3    8.9   886    20   101   0.58 00:20:20    
  4.2  31.2    0.1   64.4  1.08  54.1    9.9  2034    22   101   0.58 00:20:30    
  4.0  31.8    0.2   64.1  1.10  54.9   10.2  2357    22   101   0.58 00:20:40    
  3.0  30.0    0.0   67.1  1.01  50.6    9.1   841    21   101   0.58 00:20:50    
  4.1  31.6    0.1   64.2  1.09  54.6   10.2  2733    29   101   0.58 00:21:00    
%user  %sys  %wait  %idle physc %entc  lbusy  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------ ----- ----- -----  ------ --------
  3.4  30.7    0.0   65.8  1.05  52.7    9.4  1342    25   101   0.58 00:21:10    
  3.0  30.7    0.1   66.3  1.04  52.0    9.6  1533    44   101   0.58 00:21:20    
  3.2  31.9    0.2   64.7  1.09  54.4   10.0  3099    35   101   0.58 00:21:30    
  3.0  30.8    0.1   66.1  1.04  52.2    9.4  1374    16   101   0.58 00:21:40    
  3.0  31.7    0.1   65.2  1.08  53.8   10.1  3001    32   101   0.58 00:21:50    
  3.5  30.9    0.1   65.5  1.06  53.2    9.8  1381    25   101   0.58 00:22:00    
  3.2  30.9    0.1   65.8  1.05  52.6    9.7  1504    33   101   0.58 00:22:10    
  3.0  31.3    0.1   65.6  1.07  53.4   10.4  3193    38   101   0.58 00:22:20    
  3.1  30.2    0.1   66.6  1.03  51.4    9.2  1330    22   101   0.58 00:22:30    
  3.0  31.0    0.1   65.9  1.06  53.1    9.7  2915    32   101   0.58 00:22:40    
  2.9  30.2    0.1   66.9  1.03  51.4    9.2  1611    21   101   0.58 00:22:50    
  3.6  30.3    0.1   65.9  1.04  52.0    9.5  1187    23   101   0.58 00:23:00    
  3.2  31.6    0.1   65.1  1.09  54.5    9.9  3203    49   101   0.58 00:23:10    
  2.9  30.3    0.2   66.7  1.03  51.4    9.2  1489    31   101   0.58 00:23:20    
  3.1  32.3    0.0   64.5  1.09  54.6   10.9  2694    30   101   0.58 00:23:30    
  3.0  30.8    0.1   66.1  1.05  52.6    9.2  2127    15   101   0.58 00:23:40    
  2.9  30.0    0.0   67.0  1.01  50.7    9.5   963     9   101   0.58 00:23:50    
  3.6  32.6    0.2   63.6  1.13  56.6   11.1  3805    24   101   0.58 00:24:00    
  3.1  30.4    0.1   66.5  1.03  51.5    9.2  1210    25   101   0.58 00:24:10    
  2.9  30.3    0.1   66.8  1.02  51.2    9.3  1105    14   101   0.58 00:24:20    
  3.1  32.2    0.2   64.5  1.11  55.3   10.6  3527    27   101   0.58 00:24:30    
%user  %sys  %wait  %idle physc %entc  lbusy  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------ ----- ----- -----  ------ --------
  3.0  30.4    0.2   66.4  1.03  51.7    9.6  1580    10   101   0.58 00:24:40    
  2.8  30.0    0.0   67.1  1.01  50.6    9.1   738    10   101   0.58 00:24:50    
  3.7  32.1    0.1   64.1  1.12  55.8   10.4  3458    26   101   0.58 00:25:00    
  3.2  30.2    0.0   66.5  1.03  51.5    9.2   989    21   101   0.58 00:25:10    
  3.0  31.3    0.2   65.6  1.06  53.0    9.9  2543    30   101   0.58 00:25:20    
  3.5  31.4    0.2   64.9  1.08  53.9   10.0  2675    24   101   0.58 00:25:30    
  3.0  30.2    0.1   66.7  1.03  51.3    9.2  1159    11   101   0.58 00:25:40    
  2.9  31.6    0.1   65.4  1.08  53.9   10.0  3109    22   101   0.58 00:25:50    
  3.2  30.3    0.0   66.4  1.03  51.7    9.6   980    10   101   0.58 00:26:00    
  3.6  30.7    0.0   65.7  1.06  53.1    9.5  1599    23   101   0.58 00:26:10    
  2.9  31.7    0.1   65.3  1.07  53.7   10.2  2701    29   101   0.58 00:26:20    
  3.1  30.5    0.1   66.3  1.04  51.8    9.5  1022    19   101   0.58 00:26:30    
