
System configuration: type=Shared mode=Uncapped smt=4 lcpu=32 mem=16384MB psize=12 ent=4.00 

%user  %sys  %wait  %idle physc %entc  lbusy   app  vcsw phint  %nsp  %utcyc  Time  
 35.5  21.3    0.0   43.2  3.85  96.3   12.6  4.28  3690     0   101   1.21 00:19:51    
 45.9  18.3    0.0   35.9  3.78  94.5   20.5  4.60  4448     0   101   1.21 00:20:01    
 46.0  24.3    0.0   29.6  6.70 167.4   41.8  0.96 17730     0   101   1.21 00:20:11    
 42.7  17.2    0.0   40.0  4.39 109.8   15.6  4.05  3608     0   101   1.21 00:20:21    
 41.8  18.1    0.0   40.0  4.55 113.8   16.8  3.80  3081     0   101   1.21 00:20:31    
 36.7  16.2    0.0   47.1  3.51  87.7   13.9  5.11  2194     0   101   1.21 00:20:41    
 29.3  20.0    0.0   50.7  3.31  82.8   12.7  5.29  2808     0   101   1.21 00:20:51    
 40.3  26.8    0.0   33.0  3.85  96.3   21.0  4.29  4460     0   101   1.21 00:21:01    
%user  %sys  %wait  %idle physc %entc  lbusy   app  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------   --- ----- ----- -----  ------ --------
 38.3  23.7    0.0   37.9  4.82 120.6   20.9  3.56  6701     0   101   1.21 00:21:11    
 31.3  21.6    0.0   47.1  3.50  87.5   13.4  4.91  2609     0   101   1.21 00:21:21    
 31.9  15.3    0.0   52.8  3.15  78.6   11.9  6.00  2004     0   101   1.21 00:21:31    
 37.6  18.4    0.0   44.0  3.76  94.0   13.9  4.83  2235     0   101   1.21 00:21:41    
 42.2  16.6    0.0   41.2  3.96  98.9   13.6  5.16  2447     0   101   1.21 00:21:51    
 38.6  17.3    0.0   44.1  3.50  87.5   15.7  5.31  3246     0   101   1.21 00:22:01    
 37.6  23.0    0.0   39.4  4.34 108.4   16.8  5.19  4081     0   101   1.21 00:22:11    
 35.8  13.7    0.0   50.5  3.31  82.8   12.5  6.02  1931     0   101   1.21 00:22:21    
 38.9  20.9    0.0   40.2  4.54 113.5   15.9  5.20  3676     0   101   1.21 00:22:31    
 34.0  14.7    0.0   51.3  3.23  80.9   12.7  6.32  3021     0   101   1.21 00:22:41    
 37.0  17.3    0.0   45.7  3.64  91.1   13.1  5.87  2124     0   101   1.21 00:22:51    
 38.1  13.3    0.0   48.6  3.13  78.2   15.2  6.54  2020     0   101   1.21 00:23:01    
 34.9  25.3    0.0   39.8  5.14 128.6   20.4  4.03  7664     0   101   1.21 00:23:11    
 33.9  25.3    0.0   40.8  4.13 103.3   14.1  5.24  4868     0   101   1.21 00:23:21    
 27.4  16.6    0.0   56.0  2.96  74.0   12.3  6.09  2107     0   101   1.21 00:23:31    
 30.1  17.9    0.0   52.0  3.19  79.7   11.7  6.23  1882     0   101   1.21 00:23:41    
 39.2  11.9    0.0   48.9  3.41  85.4   12.6  5.39  1960     0   101   1.21 00:23:51    
 41.0  22.2    0.0   36.8  4.21 105.1   18.8  5.14  6957     0   101   1.21 00:24:01    
 40.7  25.9    0.0   33.4  5.25 131.3   26.3  3.57  8368     0   101   1.21 00:24:11    
 31.9  20.2    0.0   47.9  3.42  85.5   13.7  5.84  5360     0   101   1.21 00:24:21    
 34.4  22.2    0.0   43.4  3.77  94.2   14.9  5.16  4311     0   101   1.21 00:24:31    
%user  %sys  %wait  %idle physc %entc  lbusy   app  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------   --- ----- ----- -----  ------ --------
 22.4  11.9    0.0   65.7  2.28  56.9   10.6  6.96  2040     0   101   1.21 00:24:41    
 33.5  25.4    0.0   41.1  4.18 104.4   13.9  4.83  6515     0   101   1.21 00:24:51    
 30.2  14.6    0.0   55.2  2.63  65.6   15.9  6.36  2269     0   101   1.21 00:25:01    
 40.0  24.8    0.0   35.1  5.10 127.4   24.1  3.61  6347     0   101   1.21 00:25:11    
 41.9  19.0    0.0   39.2  4.59 114.8   16.2  4.20  5840     0   101   1.21 00:25:21    
 39.9  19.6    0.0   40.5  4.38 109.4   17.6  4.89  3541     0   101   1.21 00:25:31    
 35.2  16.6    0.0   48.2  3.48  86.9   12.5  5.67  2035     0   101   1.21 00:25:41    
 27.4  16.4    0.0   56.2  2.95  73.6   10.9  6.24  2119     0   101   1.21 00:25:51    
 35.1  26.3    0.0   38.6  3.88  97.0   16.9  4.97  6101     0   101   1.21 00:26:01    
 41.1  19.5    0.0   39.4  4.04 101.1   16.2  5.40  3552     0   101   1.21 00:26:11    
