
System configuration: type=Shared mode=Uncapped smt=4 lcpu=12 mem=8192MB psize=12 ent=1.00 

%user  %sys  %wait  %idle physc %entc  lbusy   app  vcsw phint  %nsp  %utcyc  Time  
 43.3   8.8    0.0   48.0  0.88  88.2    8.0  4.28   710     0   101   1.21 00:15:31    
 37.0  13.3    0.0   49.7  0.85  84.9    8.8  5.64   885     0   101   1.21 00:15:41    
 48.8  10.5    0.0   40.7  1.12 111.9   10.0  4.41   592     0   101   1.21 00:15:51    
 24.6  11.6    0.0   63.8  0.61  60.9    6.8  4.58   624     0   101   1.21 00:16:01    
 47.5  12.1    0.0   40.4  1.18 117.6   11.3  4.29  1039     0   101   1.21 00:16:11    
 27.9  10.4    0.0   61.7  0.66  65.6    6.7  4.41   776     0   101   1.21 00:16:21    
 47.1  12.0    0.0   40.9  1.09 108.8   10.3  4.62   945     0   101   1.21 00:16:31    
 29.5   6.5    0.0   64.0  0.61  60.9    7.0  5.30   585     0   101   1.21 00:16:41    
 46.1  13.0    0.0   40.9  1.12 111.8   10.4  4.36   822     0   101   1.21 00:16:51    
 36.1   8.9    0.0   55.0  0.76  76.3    7.9  5.74   706     0   101   1.21 00:17:01    
 44.5  15.2    0.0   40.2  1.04 103.6   10.2  4.03  1009     0   101   1.21 00:17:11    
 39.0   9.0    0.0   52.0  0.81  80.6    8.6  5.26  1107     0   101   1.21 00:17:21    
 37.6  13.0    0.0   49.4  0.86  86.1    8.2  3.97   685     0   101   1.21 00:17:31    
%user  %sys  %wait  %idle physc %entc  lbusy   app  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------   --- ----- ----- -----  ------ --------
 49.1  10.8    0.0   40.2  1.09 109.1   11.7  5.50   954     0   101   1.21 00:17:41    
 27.3  10.6    0.0   62.1  0.64  64.4    6.9  5.55   870     0   101   1.21 00:17:51    
 48.6  11.4    0.0   40.0  1.08 108.5   10.6  4.73   745     0   101   1.21 00:18:01    
 28.3  12.9    0.0   58.8  0.70  69.8    7.8  3.23   844     0   101   1.21 00:18:11    
 47.6  11.8    0.0   40.6  1.11 110.5   11.0  3.65   961     0   101   1.21 00:18:21    
 27.0   8.7    0.0   64.2  0.61  61.1    6.5  4.59   737     0   101   1.21 00:18:31    
 47.1  12.9    0.0   40.0  1.17 117.0   12.2  5.18   939     0   101   1.21 00:18:41    
 29.6   6.0    0.0   64.4  0.61  60.5    6.6  5.81   496     0   101   1.21 00:18:51    
 44.2  14.8    0.0   41.0  1.09 109.5    9.8  4.36   790     0   101   1.21 00:19:01    
 38.2  13.9    0.0   47.9  0.87  87.4    9.7  3.26  1279     0   101   1.21 00:19:11    
 41.3  14.4    0.0   44.2  0.93  93.1   10.0  4.96   782     0   101   1.21 00:19:21    
 45.7   8.0    0.0   46.3  0.91  91.2    8.2  4.69   597     0   101   1.21 00:19:31    
 32.9  12.0    0.0   55.1  0.76  75.8    8.4  5.95   805     0   101   1.21 00:19:41    
 50.2   9.3    0.0   40.5  1.06 106.4    9.9  4.29   631     0   101   1.21 00:19:51    
 33.5  15.6    0.0   50.9  0.81  80.9   10.1  4.66  1193     0   101   1.21 00:20:01    
